category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
accessories,Chapeaux & Bonnets,Masques d'isolation de protection du visage Masques anti-buée anti-éclaboussures,9.99,16.99,USD,41,373,false,,,"ID,MY,PH,SG,TH,VN",Gray,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/09/FD/e8204e98-8e30-41ca-a599-c8ed90469e08.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/09/FD/e8204e98-8e30-41ca-a599-c8ed90469e08.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2E/72/1c322075-7a7a-474d-976e-6bcbc45daaec.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2E/72/1c322075-7a7a-474d-976e-6bcbc45daaec.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2E/72/1c322075-7a7a-474d-976e-6bcbc45daaec.jpg,https://fr.newchic.com/hats-and-caps-4192/p-1671872.html,1671872,SKUF08305
accessories,Baseball Caps,Chapeau de parasol de casquette de baseball en denim lavé à bordure personnalisée en plein air,9.99,18.99,USD,47,73,false,,,"ID,MY,PH,SG,TH,VN",Navy,Black,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/45/ED/2e7729ff-3dde-4f1c-9ece-d6c2a5f24302.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/45/ED/2e7729ff-3dde-4f1c-9ece-d6c2a5f24302.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/79/30/9b8eb997-55d4-4e67-8b89-e81178cf2e8e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/79/30/9b8eb997-55d4-4e67-8b89-e81178cf2e8e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0D/0D/a735a697-871f-4bea-b92d-19947ff8f328.jpg,https://fr.newchic.com/baseball-caps-12158/p-1674377.html,1674377,SKUF11351
accessories,Flat Caps,Casquette Gavroche Cabbie Lvy Flat Hat Vintage Painter Beret Hats ,17.49,37.34,USD,53,140,false,,,"ID,MY,PH,SG,TH,VN",Black,camel,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A4/2F/42467cfd-63b4-4f6e-901c-90dc34cd52b3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A4/2F/42467cfd-63b4-4f6e-901c-90dc34cd52b3.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/30/CE/5f9c589f-81f7-48c4-a24c-4ba41cdf3718.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/30/CE/5f9c589f-81f7-48c4-a24c-4ba41cdf3718.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/30/CE/5f9c589f-81f7-48c4-a24c-4ba41cdf3718.jpg,https://fr.newchic.com/flat-caps-12160/p-1637790.html,1637790,SKUE50978
accessories,Cache-oreilles & Masques,Masque à fleurs en coton multicolore Masque vintage,5.99,16.01,USD,63,686,false,,,"ID,MY,PH,SG,TH,VN",#01,#02,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/39/4F/db60e479-87f5-4a82-94cb-ec17b4e772a4.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/39/4F/db60e479-87f5-4a82-94cb-ec17b4e772a4.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D2/B6/0179fdce-340b-4da5-b89b-e49a7ec39d17.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D2/B6/0179fdce-340b-4da5-b89b-e49a7ec39d17.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E6/1D/834076a4-45ea-476c-8f45-bbe1b95db3d7.jpg,https://fr.newchic.com/earmuffsandmouth-maskandblindfold-6011/p-1654953.html,1654953,SKUE76490
accessories,Chapeaux & Bonnets,Chapeau de pêche en plein air pour hommes,13.99,26.99,USD,48,35,false,,,"ID,MY,PH,SG,TH,VN",Black,Army Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B4/B2/c4ac4148-67fe-43ed-af4e-6552b43dbb65.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B4/B2/c4ac4148-67fe-43ed-af4e-6552b43dbb65.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/EF/CC/b59a7048-a07f-4f95-a307-67d3a75b6c76.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EF/CC/b59a7048-a07f-4f95-a307-67d3a75b6c76.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/66/A2/1c551fef-742d-4381-8e99-9924622b3c24.jpg,https://fr.newchic.com/hats-and-caps-4192/p-1666600.html,1666600,SKUE75375
accessories,Beanie Hat,Femmes Imprimer Campagne Floral Twist Beanie Cap Turban Cap de chimiothérapie,9.99,18.99,USD,47,91,false,,,"ID,MY,PH,SG,TH,VN",Leopard,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/72/F6/51a42b56-1fd9-43e8-b58d-25996157d112.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/72/F6/51a42b56-1fd9-43e8-b58d-25996157d112.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/5C/7F/af9a1ad2-952e-47db-b701-6a186799bc39.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5C/7F/af9a1ad2-952e-47db-b701-6a186799bc39.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/76/61/bf57ee2a-fd11-46fd-86ab-4bbabf79b458.jpg,https://fr.newchic.com/beanie-hat-12168/p-1690702.html,1690702,SKUF28537
accessories,Cache-oreilles,Visage floral Masque Sheild Masque en coton vintage,5.99,11.99,USD,50,147,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/24/A2/130196fb-f98a-4495-b8d5-a4acdc423843.JPG,https://fr.newchic.com/earmuffsandmouth-maskandblindfold-6010/p-1668210.html,1668210,SKUE94427
accessories,Chapeaux & Bonnets,Bonnet en coton brodé pour homme Chapeau avant Chapeau de soleil rétro britannique Béret littéraire,12.99,23.99,USD,46,46,false,,,"ID,MY,PH,SG,TH,VN",Black,Navy,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/03/44/b299ecc6-b0e3-4974-9d7f-f5eb29e5dd64.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/03/44/b299ecc6-b0e3-4974-9d7f-f5eb29e5dd64.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/02/DB/2313f528-1cd0-416e-becb-9083e1784040.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/02/DB/2313f528-1cd0-416e-becb-9083e1784040.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/60/567b9a0a-66e3-4fdb-ad99-4155400c8714.jpg,https://fr.newchic.com/hats-and-caps-4192/p-1674357.html,1674357,SKUF04432
accessories,Flat Caps,Casquette gavroche octogonale d'été Cabbie Lvy Flat Hat,20.49,42.47,USD,52,121,false,,,"ID,MY,PH,SG,TH,VN",Black,Grey,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/90/58/edea7848-9302-4aab-b9fa-d9f66167121c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/90/58/edea7848-9302-4aab-b9fa-d9f66167121c.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C9/2E/dbb5e404-fcfe-493b-ad96-9e1adf312b80.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C9/2E/dbb5e404-fcfe-493b-ad96-9e1adf312b80.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C9/2E/dbb5e404-fcfe-493b-ad96-9e1adf312b80.jpg,https://fr.newchic.com/flat-caps-12160/p-1637791.html,1637791,SKUE50991
accessories,Skull Caps,Casquettes de crâne pour hommes à carreaux sans bord assortis,12.99,25.99,USD,50,71,false,,,"ID,MY,PH,SG,TH,VN",Yellow,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E9/40/91f3eb62-404b-4b1f-a067-54c2b20599c8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E9/40/91f3eb62-404b-4b1f-a067-54c2b20599c8.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6B/1B/bc093bb3-a13e-433d-baca-d0f2b0861671.jpg,https://fr.newchic.com/skull-caps-12161/p-1690229.html,1690229,SKUF19523
accessories,Ceintures & Bretelles,Ceinture en cuir véritable pour hommes Ceinture décontractée Sangle de taille Broche lisse Ceinture rétro,32.99,64.99,USD,49,35,false,,,"ID,MY,PH,SG,TH,VN",Black,Coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/61/C4/b6926a8d-4e65-4bda-be19-decf9a21d775.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/61/C4/b6926a8d-4e65-4bda-be19-decf9a21d775.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F1/65/0cced8e6-fdf9-4f58-8365-f3a5e9d10b1f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F1/65/0cced8e6-fdf9-4f58-8365-f3a5e9d10b1f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5B/31/5bb64099-7c96-46a2-ae69-acfafd5143cd.jpg,https://fr.newchic.com/mens-belts-4189/p-1682316.html,1682316,SKUF26232
accessories,Cache-oreilles,Masque facial en mousseline respirant réglable ,4.99,9.99,USD,50,110,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7A/DE/64d683af-9417-45fe-9f2d-73c894a82e69.jpg,https://fr.newchic.com/earmuffsandmouth-maskandblindfold-6010/p-1676041.html,1676041,SKUF09796
accessories,Cache-oreilles & Masques,Masque facial unisexe respirant de couleur unie,4.99,9.99,USD,50,98,false,,,"ID,MY,PH,SG,TH,VN",Black,Gray,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/96/9D/4630250a-4cea-4c03-afc0-6696d57c5fc5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/9D/4630250a-4cea-4c03-afc0-6696d57c5fc5.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/1D/FE/8532c3eb-9422-4f21-a304-35cedb428e39.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1D/FE/8532c3eb-9422-4f21-a304-35cedb428e39.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1E/75/7a888bf9-18f3-4ffc-b352-f41eea51a959.jpg,https://fr.newchic.com/earmuffsandmouth-maskandblindfold-6011/p-1676042.html,1676042,SKUF09707
accessories,Beanie Hat,Elephant Retro Beanie Hat Turban Cap de chimiothérapie,10.99,22.99,USD,52,108,false,,,"ID,MY,PH,SG,TH,VN",Black,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/24/00/fb1e2c60-89a8-4322-8f69-f926f7e3a407.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/24/00/fb1e2c60-89a8-4322-8f69-f926f7e3a407.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/41/32/991197bd-8f95-413a-b328-1a0b772174dd.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/41/32/991197bd-8f95-413a-b328-1a0b772174dd.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/41/32/991197bd-8f95-413a-b328-1a0b772174dd.jpg,https://fr.newchic.com/beanie-hat-12168/p-1669588.html,1669588,SKUE92909
accessories,Cache-oreilles,Masque anti-poussière Masque floral visage Sheild,5.99,11.99,USD,50,106,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FC/C8/2782935a-aa14-493e-af10-2ed01c0718b8.JPG,https://fr.newchic.com/earmuffsandmouth-maskandblindfold-6010/p-1668209.html,1668209,SKUE94426
