category,subcategory,current_price,raw_price,discount,likes_count,is_new,brand,variation_0_color,variation_1_color,id,model
accessories,Chapeaux & Bonnets,9.99,16.99,41,373,False,Unknown,Gray,Blue,1671872,SKUF08305
accessories,Baseball Caps,9.99,18.99,47,73,False,Unknown,Navy,Black,1674377,SKUF11351
accessories,Flat Caps,17.49,37.34,53,140,False,Unknown,Black,camel,1637790,SKUE50978
accessories,Cache-oreilles & Masques,5.99,16.01,63,686,False,Unknown,#01,#02,1654953,SKUE76490
accessories,Chapeaux & Bonnets,13.99,26.99,48,35,False,Unknown,Black,Army Green,1666600,SKUE75375
accessories,Beanie Hat,9.99,18.99,47,91,False,Unknown,Leopard,Green,1690702,SKUF28537
accessories,Cache-oreilles,5.99,11.99,50,147,False,Unknown,Unknown,Unknown,1668210,SKUE94427
accessories,Chapeaux & Bonnets,12.99,23.99,46,46,False,Unknown,Black,Navy,1674357,SKUF04432
accessories,Flat Caps,20.49,42.47,52,121,False,Unknown,Black,Grey,1637791,SKUE50991
accessories,Skull Caps,12.99,25.99,50,71,False,Unknown,Yellow,Unknown,1690229,SKUF19523
accessories,Ceintures & Bretelles,32.99,64.99,49,35,False,Unknown,Black,Coffee,1682316,SKUF26232
accessories,Cache-oreilles,4.99,9.99,50,110,False,Unknown,Unknown,Unknown,1676041,SKUF09796
accessories,Cache-oreilles & Masques,4.99,9.99,50,98,False,Unknown,Black,Gray,1676042,SKUF09707
accessories,Beanie Hat,10.99,22.99,52,108,False,Unknown,Black,Blue,1669588,SKUE92909
accessories,Cache-oreilles,5.99,11.99,50,106,False,Unknown,Unknown,Unknown,1668209,SKUE94426
accessories,Chapeaux & Bonnets,6.99,13.99,50,85,False,Unknown,Red,Beige,1686029,SKUF28443
accessories,Beanie Hat,10.99,22.99,52,63,False,Unknown,Khaki,Black,1694979,SKUF33483
accessories,Skull Caps,13.99,26.99,48,53,False,Unknown,Blue,Unknown,1690613,SKUF24036
accessories,Chapeaux & Bonnets,10.99,21.99,50,58,False,Unknown,Army Green,Light Grey,1680830,SKUF25633
accessories,Gants,25.99,49.99,48,53,False,Unknown,Black,Brown,1691311,SKUF41075
accessories,Baseball Caps,9.99,18.99,47,20,False,Unknown,Navy,Black,1674376,SKUF11354
accessories,Baseball Caps,14.99,28.99,48,21,False,Unknown,Unknown,Unknown,1674134,SKUE94195
accessories,Ceintures & Bretelles,49.99,99.99,50,10,False,Unknown,Green,Coffee,1682449,SKUF26286
accessories,Cache-oreilles,5.99,11.99,50,97,False,Unknown,Blue,Pink,1668212,SKUE94424
accessories,Cache-oreilles,6.99,0.0,0,30,False,Unknown,# 01,Unknown,1695105,SKUF38828
accessories,Beanie Hat,11.49,21.73,47,30,False,Unknown,Gray,Unknown,1662888,SKUE95123
accessories,Cache-oreilles,5.99,11.99,50,126,False,Unknown,Unknown,Unknown,1668213,SKUE94428
accessories,Cache-oreilles,6.99,0.0,0,45,False,Unknown,# 01,Unknown,1695114,SKUF38928
accessories,Flat Caps,17.49,29.26,40,60,False,Unknown,Black,Unknown,1637789,SKUE50982
accessories,Beanie Hat,7.99,14.99,47,43,False,Unknown,Unknown,Unknown,1676014,SKUF16169
accessories,Chapeaux & Bonnets,11.99,20.0,40,19,False,Unknown,Khaki,Black,1679096,SKUF23906
accessories,Foulards & Écharpes,28.74,71.68,60,236,False,Unknown,#01,Unknown,1565548,SKUD51316
accessories,Headband & Bandeaux,4.99,8.99,45,58,False,Unknown,#01,#02,1686032,SKUF28417
accessories,Chapeaux & Bonnets,11.99,23.99,50,52,False,Unknown,Navy,Pink,1674846,SKUF06912
accessories,Chapeaux & Bonnets,11.99,23.99,50,21,False,Unknown,Khaki,Black,1679074,SKUF23801
accessories,Cache-oreilles,4.99,9.99,50,34,False,Unknown,Unknown,Unknown,1676046,SKUF09784
accessories,Chapeaux & Bonnets,13.99,27.99,50,8,False,Unknown,kaki,armée verte,1690110,SKUF19507
accessories,Baseball Caps,8.99,16.99,47,9,False,Unknown,Unknown,Unknown,1674138,SKUE94307
accessories,Beanie Hat,11.99,24.99,52,29,False,Unknown,Black,Navy,1677731,SKUF19129
accessories,Flat Caps,17.49,27.68,37,53,False,Unknown,Black,Unknown,1637788,SKUE51001
accessories,Chapeaux & Bonnets,11.99,23.99,50,21,False,Unknown,Black,Gray,1681952,SKUF04434
accessories,Beanie Hat,20.99,40.99,49,41,False,Unknown,Black,Unknown,1676007,SKUF16119
accessories,Beanie Hat,11.99,23.99,50,41,False,Unknown,Gray,Red,1677733,SKUF19153
accessories,Baseball Caps,10.99,15.99,31,12,False,Unknown,Yellow,White,1701892,SKUF45993
