category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
house,Flowers,150pcs / pack de graines de fleurs Hosta,4.99,8.99,USD,45,867,false,Egrow,https://fr.newchic.com/egrow-brand-819.html,"PH,TH,VN",Violet,vert,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/8E/58/668fcfb1-f341-4316-b871-bfd143d070fa.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/banggood/images/8E/58/668fcfb1-f341-4316-b871-bfd143d070fa.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/banggood/images/5A/E8/242bfcc1-f15e-479b-9003-fc72a469eccc.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/banggood/images/5A/E8/242bfcc1-f15e-479b-9003-fc72a469eccc.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/banggood/images/8E/58/668fcfb1-f341-4316-b871-bfd143d070fa.jpg,https://fr.newchic.com/egrow-flowers-8679/p-1317953.html,1317953,SKU967403
house,Home Carpets,Tapis de maison antidérapants de style floral classique européen,16.17,43.74,USD,63,703,false,DecBest,https://fr.newchic.com/decbest-brand-1365.html,"ID,MY,PH,SG,TH,VN",#1,#2,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/35/A1/909198d8-e3c8-40a1-a20c-0d64a6eb627e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/35/A1/909198d8-e3c8-40a1-a20c-0d64a6eb627e.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D9/E1/4a782fc4-b1bf-47a4-bdbf-6df7122d16b7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D9/E1/4a782fc4-b1bf-47a4-bdbf-6df7122d16b7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B0/F3/3cc4e9da-e0fc-4e14-bca4-03bf0c4082e5.jpg,https://fr.newchic.com/decbest-home-carpets-7216/p-1496436.html,1496436,SKUC30634
house,Outdoor Tools,IPRee ™ 30KN Rappel d'escalade Dscender Eight Ring,14.99,25.99,USD,42,52,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/upload/2012/chenjianwei/SKU093263 (1).JPG,https://fr.newchic.com/outdoor-tools-7288/p-907293.html,907293,SKU093263
house,Outdoor Tools,Bâton d'auto-défense à poteau télescopique à 3 sections Outil d'évacuation d'urgence pour bâton rétractable,13.99,34.97,USD,60,120,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B7/A8/e579680c-f35c-4085-a441-297f54c5d5db.jpeg,https://fr.newchic.com/outdoor-tools-7288/p-1339082.html,1339082,SKUA06367
house,Fournitures de nettoyage,Couvre-pied jetable automatique pour machine à film pour chaussures,74.99,151.24,USD,50,222,false,,,"ID,MY,PH,SG,TH,VN",#1,#2,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6E/FF/00ae178f-2dd0-4a80-9be8-8d3e02605a93.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6E/FF/00ae178f-2dd0-4a80-9be8-8d3e02605a93.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A9/56/c397f7cb-c035-42df-8760-b94cf7629a9f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A9/56/c397f7cb-c035-42df-8760-b94cf7629a9f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BF/8A/c20dfb9b-e772-4219-b51a-87459221089a.jpg,https://fr.newchic.com/cleaning-supplies-4918/p-1664674.html,1664674,SKUF00488
house,Literie,Housse de couette en fibre de polyester de luxe Soft,41.29,89.5,USD,54,467,false,SOFO,,,,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BF/23/7fd7a743-15f2-4e7a-a79a-be6fdb5d0f5f.jpg,https://fr.newchic.com/bedding-sets-5811/p-1332456.html,1332456,SKUA10391
house,Flowers,Lot de 100 pcs semences de lithops bleus vivaces pseudotruncatella,5.99,10.99,USD,46,2082,false,Egrow,https://fr.newchic.com/egrow-brand-819.html,"PH,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/banggood/images/FB/03/f586135d-f5e4-4e8a-b6b2-80af86323783.jpg,https://fr.newchic.com/egrow-flowers-8679/p-1244169.html,1244169,SKU820961
house,Grasses,Herbe de la pampa arc-en-ciel,6.71,10.99,USD,39,1535,false,Egrow,https://fr.newchic.com/egrow-brand-819.html,,,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/37/D0/ac6b7ad2-215e-41f7-aea3-d2c66bd85ecf.jpg,https://fr.newchic.com/egrow-grasses-8677/p-1432170.html,1432170,SKUB42528
house,Fournitures de nettoyage,Machine de film de chaussure maison automatique nouveau jetable ,79.51,150.75,USD,47,136,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DB/08/dd2cbff4-b875-4bfb-8a2e-a915bfeafba0.jpg,https://fr.newchic.com/cleaning-supplies-4918/p-1657579.html,1657579,SKUE87086
house,Dessert Decorators,Ensemble de 52 pièces Platine à gâteau 32 pièces Ensemble de conseils de tuyauterie,24.01,49,USD,51,114,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6B/FD/cf927c1a-00b0-4667-a15b-e813a0a14068.jpeg,https://fr.newchic.com/dessert-decorators-7266/p-1632823.html,1632823,SKUB62466
house,Desktop Holder,Ring Fill Light Lamp NO / WITH Trépied for Selfie Photography Vlog Live Streaming Camera Video Beauty,4.99,12.5,USD,60,156,false,,,"ID,MY,PH,SG,TH,VN",#3,#2,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E6/0A/6019fcca-5e06-425b-a3b9-697eb9b46227.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E6/0A/6019fcca-5e06-425b-a3b9-697eb9b46227.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/9F/08/98551d2d-da5e-42f6-a180-35902f415ec8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9F/08/98551d2d-da5e-42f6-a180-35902f415ec8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3C/B9/36852e70-7bd1-403c-a7fe-ac33713199a0.jpeg,https://fr.newchic.com/desktop-holder-6153/p-1579954.html,1579954,SKUC55584
house,Outdoor Tools,3000RPM / min Kit de scie sabre électrique sans fil pour scie alternative sans fil pour Makita 18V Batterie 100 mm / 2 mm (Batterie non inclus),43.99,109.99,USD,60,44,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/60/2B/b1ab10fc-6e2d-4344-88df-327c4258ecc0.jpeg,https://fr.newchic.com/outdoor-tools-7288/p-1687358.html,1687358,SKUE54645
house,Food Storage,Ensemble de réservoir d'assaisonnement rotatif de cuisine Rangement de cuisine,9.99,16.99,USD,41,165,false,,,"ID,MY,PH,SG,TH,VN",Black,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/04/E0/33f0e06a-0349-48c4-b915-c9be6b87e0d2.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/E0/33f0e06a-0349-48c4-b915-c9be6b87e0d2.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/68/54/71047677-fea2-4339-b98d-fdd6ef7496fd.jpg,https://fr.newchic.com/bottles-and-jars-and-boxes-7256/p-1663485.html,1663485,SKUE92687
house,Flowers,400pcs Egrow 4 Varieties Mixed Rose Flowers Seeds Pink Succulen Blue Witchford Seeds,12.99,25.99,USD,50,118,false,,,"PH,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/07/1670f7a6-924d-41f0-93c8-a84fe0d30da4.jpg,https://fr.newchic.com/flowers-8679/p-1677994.html,1677994,SKU578184+SKU903970
house,Artisanat,83 pièces / ensemble moule en silicone pour résine silicone uv résine bricolage argile résine époxy moulage moules et outils fixés avec sac de rangement pour bijoux,14.99,37.48,USD,60,101,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/60/E3/ba978948-0948-4d67-933a-bd83609e28ec.jpg,https://fr.newchic.com/crafting-5493/p-1684835.html,1684835,SKUE83582
