category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
shoes,Mocassins,Chaussures décontractées antidérapantes en tissu de soie glacée pour hommes,36.4,72.8,USD,50,873,false,,,"ID,MY,PH,SG,TH,VN",Black,Khaki,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/CD/EA/3179a7d3-7afb-4799-8b13-4e733c0508f1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CD/EA/3179a7d3-7afb-4799-8b13-4e733c0508f1.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F2/3D/a6cf972f-4c86-4fe2-b02b-ee62b64c9429.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F2/3D/a6cf972f-4c86-4fe2-b02b-ee62b64c9429.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8E/09/5e11adf5-7896-4950-9a53-cab0db072904.jpg,https://fr.newchic.com/flats-3616/p-1687903.html,1687903,SKUF29428
shoes,Mocassins,Chaussures en cuir à carreaux pour hommes de grande taille,46.36,106.49,USD,57,358,false,,,"ID,MY,PH,SG,TH,VN",Red,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/41/96/832e03a1-0f4d-4be0-a7fc-ec50aa9ac680.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/41/96/832e03a1-0f4d-4be0-a7fc-ec50aa9ac680.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D7/4C/dba63315-dc00-44fc-bd1f-31723795a91c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D7/4C/dba63315-dc00-44fc-bd1f-31723795a91c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D7/4C/dba63315-dc00-44fc-bd1f-31723795a91c.jpg,https://fr.newchic.com/flats-3616/p-1533324.html,1533324,SKUC99128
shoes,Mocassins,Chaussures décontractées en cuir pour hommes,43.38,119.98,USD,64,1511,false, Menico,https://fr.newchic.com/-menico-brand-1716.html,"ID,MY,PH,SG,TH,VN",Black,Khaki,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E1/0E/8a23b2ca-f762-4462-801d-682d2efeb153.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E1/0E/8a23b2ca-f762-4462-801d-682d2efeb153.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C7/AF/e0f2545a-5c29-4bf8-9815-cf6233dfd258.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C7/AF/e0f2545a-5c29-4bf8-9815-cf6233dfd258.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/47/D5/4b4406f4-ef3c-45b6-a986-cc3bbe4a5533.jpg,https://fr.newchic.com/-menico-flats-3616/p-1651734.html,1651734,SKUE68011
shoes,Sneakers & Baskets,Baskets plates élastiques en tricot d'épissage,19.99,39.99,USD,50,1873,false,,,"ID,MY,PH,SG,TH,VN",Green,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/28/EC/8c14c19b-0bcc-42aa-83a5-083ed4ff7e41.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/28/EC/8c14c19b-0bcc-42aa-83a5-083ed4ff7e41.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/E6/DD/e5d71f25-4b7a-47cf-8fdb-b379206d8827.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/E6/DD/e5d71f25-4b7a-47cf-8fdb-b379206d8827.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B6/63/ab349d9c-106a-498f-af01-65c40c4a31c7.jpg,https://fr.newchic.com/sneakersandathletic-3596/p-1591892.html,1591892,SKUD85085
shoes,Mocassins,Hommes Cuir Épissage Soft Semelle Casual Chaussures,46.18,119.98,USD,62,2738,false,,,"ID,MY,PH,SG,TH,VN",Bleu,Noir,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C3/47/a0b31cae-2883-437b-b7ce-ea16b7ac3e8f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C3/47/a0b31cae-2883-437b-b7ce-ea16b7ac3e8f.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/7E/0E/66a8b168-f33d-44c8-a90f-e39e0b2a53b7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/0E/66a8b168-f33d-44c8-a90f-e39e0b2a53b7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/88/5E/bce7121c-9113-415e-858b-b26b8c74c06b.jpg,https://fr.newchic.com/flats-3616/p-1474682.html,1474682,SKUC15622
shoes,Mocassins,Chaussures décontractées antidérapantes en cuir microfibre pour hommes,45.57,91.14,USD,50,202,false,,,"ID,MY,PH,SG,TH,VN",Blue,Coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/0F/EF/07369ce1-c5bf-4ca8-a5ca-ec338e995b9d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0F/EF/07369ce1-c5bf-4ca8-a5ca-ec338e995b9d.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/01/06/f017d708-a21b-4b73-a811-9b026d7ae8a8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/01/06/f017d708-a21b-4b73-a811-9b026d7ae8a8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/13/C0/2004c9eb-df07-4c69-a00a-2290541a2d4f.jpg,https://fr.newchic.com/flats-3616/p-1682984.html,1682984,SKUF29370
shoes,Mocassins,Chaussures de conduite décontractées antidérapantes en tissu de soie glacée pour hommes,36.64,73.28,USD,50,303,false,,,"ID,MY,PH,SG,TH,VN",kaki,Noir,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6E/8B/9616aae3-cc29-4b0d-97f3-67b30a01410a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6E/8B/9616aae3-cc29-4b0d-97f3-67b30a01410a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6C/12/1892455e-4384-4119-8abd-abd1c1609187.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6C/12/1892455e-4384-4119-8abd-abd1c1609187.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6E/8B/9616aae3-cc29-4b0d-97f3-67b30a01410a.jpg,https://fr.newchic.com/flats-3616/p-1696409.html,1696409,SKUF40815
shoes,Mocassins,Chaussures décontractées confortables en toile lavée pour hommes,22.98,63.98,USD,64,3688,false,,,"ID,MY,PH,SG,TH,VN",Bleu foncé,gris,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BA/55/ee76a79b-1bca-4010-8c11-ae1387741bb6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BA/55/ee76a79b-1bca-4010-8c11-ae1387741bb6.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A7/59/8a0fe6c0-2016-4979-8388-40c9a930b32b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A7/59/8a0fe6c0-2016-4979-8388-40c9a930b32b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/33/A6/46da2516-369f-43fd-8a09-d9d3b49fa113.jpg,https://fr.newchic.com/flats-3616/p-1488803.html,1488803,SKUC25967
shoes,Bottes & Bottines,Bottes à talons blocs à lacets brodés,41.29,96.94,USD,57,5739,false,,,"ID,MY,PH,SG,TH,VN",Black1,Brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/52/63/ecae3d74-8009-47c4-bac1-d2f85b8210a7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/52/63/ecae3d74-8009-47c4-bac1-d2f85b8210a7.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/C1/10/2206dd9e-1be6-401c-b233-9a1ab9a53f7e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/C1/10/2206dd9e-1be6-401c-b233-9a1ab9a53f7e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/B2/8B/cc4ecd07-7f16-46a6-8bce-6efef591a0bc.jpg,https://fr.newchic.com/womens-boots-3599/p-1540079.html,1540079,SKUD06092
shoes,Bottes & Bottines,Bottes d'été en cuir brodé de fleurs en strass,32.99,69.99,USD,53,218,false,,,"ID,MY,PH,SG,TH,VN",Blue,Purple,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/02/B3/3a185300-6418-474c-ad76-ab00caff2d7d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/02/B3/3a185300-6418-474c-ad76-ab00caff2d7d.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/25/63/c33b2dcc-25fc-44fd-9781-d5297beba975.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/25/63/c33b2dcc-25fc-44fd-9781-d5297beba975.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/02/B3/3a185300-6418-474c-ad76-ab00caff2d7d.jpg,https://fr.newchic.com/womens-boots-3599/p-1710310.html,1710310,SKUF71539
